city,avg_high,avg_low,coldest_month,coldest_avg_high,coldest_avg_low,warmest_month,warmest_avg_high,warmest_avg_low
St.John's,8.6,0.8,February,-1.4,-8.7,July,20.2,10.5
Charlottetown,9.5,0.8,January,-3.4,-12.2,July,23.1,13.6
Halifax,10.7,1.4,February,-1.5,-10.6,July,23.4,13.2
Fredericton,11.0,-0.6,January,-4,-15.4,July,25.6,12.9
Quebec,9.0,-1.0,January,-7.7,-17.3,July,24.9,13.2
Montreal,10.9,1.2,January,-5.8,-14.9,July,26.2,15.4
Ottawa,10.7,0.8,January,-6.3,-15.5,July,26.4,15.1
Toronto,12.6,5.2,January,-1.3,-7.9,July,26.5,17.6
Winnipeg,8.1,-3.4,January,-13.2,-23.6,July,26.1,13.4
Regina,8.9,-3.8,January,-11,-22.1,July,26.3,11.9
Edmonton,8.7,-1.5,January,-8.2,-17,July,23.0,12.0
Calgary,10.3,-2.6,January,-3.6,-15.7,July,23.2,9.5
Vancouver,13.5,6.1,January,5.7,0.1,August,21.7,12.9
Victoria,13.9,5.1,January,6.5,0.3,July,21.8,10.7
Whitehorse,4.1,-6.2,January,-14.4,-23.2,July,20.3,7.6
Yellowknife,-0.8,-9.7,January,-23.9,-32.2,July,20.8,12.0
